word_bw	word_ar	lemma_bw	lemma_ar	pos	stem_bw	stem_ar	gloss	root_bw	root_ar
qwlt	قولت	qawlap	قَولَة	noun	qawl	قَول	remark_[CALIMA]+[fem.sg.]_[CALIMA]	None	None
lnAs	لناس	nAs	ناس	noun	nAs	ناس	for;to_[CALIMA]+people_[CALIMA]	None	None
ktyr	كتير	kaviyr	كَثِير	adj	kaviyr	كَثِير	many;much;numerous;a_lot;very_[CALIMA]	None	None
fY	فى	fiy	فِي	abbrev	fiy	فِي	V._[ARAMORPH]	None	None
Aljrwb	الجروب	juruwb	جُرُوب	noun	juruwb	جُرُوب	the_[CALIMA]+group_[CALIMA]	None	None
An	ان	<in~	إِنّ	conj_sub	<in~	إِنّ	if_[CALIMA]	None	None
AllY	اللى	All~iy	اللِّي	pron_rel	All~iy	اللِّي	which;who;whom_[CALIMA]	None	None
byHSl	بيحصل	HaSal	حَصَل	verb	HoSul	حْصُل	[present-tense]_+_he;it_[ADAM]+obtain;acquire;get_[ARAMORPH]	None	None
dh	ده	dah	دَه	pron_dem	dah	دَه	that_[CALIMA]	None	None
m$	مش	mi$	مِش	part_neg	mi$	مِش	TBA_[CALIMA]	None	None
hAydwm	هايدوم	dAm	دام	verb	duwm	دُوم	will_+_he;it_[ADAM]+last;persevere;continue_[ARAMORPH]	None	None
mmkn	ممكن	mumokin	مُمْكِن	adj	mumokin	مُمْكِن	possible_[CALIMA]	None	None
ykwn	يكون	kAn	كان	verb	kuwn	كُون	he;it_[CALIMA]+be;was;were_[CALIMA]	None	None
AHnA	احنا	AiHonA	اِحْنا	pron	AiHonA	اِحْنا	we;us_[CALIMA]	None	None
lynA	لينا	li	لِ	prep	liynA	لِينا	to;him_(it;he_has);them;her_(it;she_has;they_have);for_[CALIMA]	None	None
Alyd	اليد	yad	يَد	noun	yad	يَد	the_[CALIMA]+hand;hands_[CALIMA]	None	None
AlEAlyp	العالية	EAliy	عالِي	adj	EAly	عالي	the_[CALIMA]+high;elevated_[CALIMA]+[fem.sg.]_[CALIMA]	None	None
fY	فى	fiy	فِي	abbrev	fiy	فِي	V._[ARAMORPH]	None	None
AlqAhrp	القاهرة	qAhirap	قاهِرَة	noun_prop	qAhir	قاهِر	the_[CALIMA]+Cairo_[CALIMA]+[fem.sg.]_[CALIMA]	None	None
lkn	لكن	lakin	لَكِن	conj	lakin	لَكِن	Rather;even;but;yet;however;but_rather_[CALIMA]	None	None
fY	فى	fiy	فِي	abbrev	fiy	فِي	V._[ARAMORPH]	None	None
AlmHAfZAt	المحافظات	muHAfaZap	مُحافَظَة	noun	muHAfaZ	مُحافَظ	the_[ARAMORPH]+protection_[ARAMORPH]+[fem.pl.]_[ARAMORPH]	None	None
wxSwSA	وخصوصا	xuSuwS	خُصُوص	noun	xuSuwS	خُصُوص	and_[CALIMA]+matter;issue;regard;respect;especially;in_particular_[CALIMA]+[acc.indef.]_[CALIMA]	None	None
bwrsEyd	بورسعيد	buwrosaEiyd	بُورْسَعِيد	noun_prop	buwrosaEiyd	بُورْسَعِيد	Port_Said_[CALIMA]	None	None
SEb	صعب	SaEob	صَعْب	adj	SaEob	صَعْب	difficult;hard;arduous_[CALIMA]	None	None
wAllY	واللى	All~iy	اللِّي	pron_rel	All~iy	اللِّي	and_[CALIMA]+which;who;whom_[CALIMA]	None	None
HSl	حصل	HaSal	حَصَل	verb	HaSal	حَصَل	obtain;acquire;get;be_obtained;be_acquired;occur;happen;take_place_[CALIMA]	None	None
mn	من	man	مَن	pron_interrog	man	مَن	who;whom_[ARAMORPH]	None	None
tksyr	تكسير	takosiyr	تَكْسِير	noun	takosiyr	تَكْسِير	fragmentation;fracturing_[CALIMA]	None	None
dh	ده	dah	دَه	pron_dem	dah	دَه	that_[CALIMA]	None	None
hAytrd	هايترد	hAytrd	هايترد	noun_prop	hAytrd	هايترد	NO_ANALYSIS_[ARAMORPH]	None	None
Elyh	عليه	EalaY	عَلَى	prep	Ealayh	عَلَيه	on;above_[CALIMA]	None	None
lAn	لان	<in~	إِنّ	conj_sub	li<in~	لِإِنّ	if_[CALIMA]	None	None
bwrsEyd	بورسعيد	buwrosaEiyd	بُورْسَعِيد	noun_prop	buwrosaEiyd	بُورْسَعِيد	Port_Said_[CALIMA]	None	None
mn	من	man	مَن	pron_interrog	man	مَن	who;whom_[ARAMORPH]	None	None
sAEp	ساعة	sAEap	ساعَة	noun	sAE	ساع	hour;time;hours;clock;watch;timepiece;clocks;watches_[CALIMA]+[fem.sg.]_[CALIMA]	None	None
syd	سيد	say~id	سَيِّد	noun	say~id	سَيِّد	Sir;Mr.;Mister;Sirs;Messrs.;gentlement;master_[CALIMA]	None	None
mtwlY	متولى	mtwly	متولي	noun_prop	mtwly	متولي	NO_ANALYSIS_[ARAMORPH]	None	None
whY	وهى	hiy~a	هِيَّ	pron	hiy~a	هِيَّ	and_[CALIMA]+it;they;she_[CALIMA]	None	None
btEAnY	بتعانى	EAnaY	عانَى	verb	EAniy	عانِي	[present-tense]_+_it;they;she_[CALIMA]+suffer;be_suffered_[CALIMA]	None	None
mn	من	man	مَن	pron_interrog	man	مَن	who;whom_[ARAMORPH]	None	None
tksyr	تكسير	takosiyr	تَكْسِير	noun	takosiyr	تَكْسِير	fragmentation;fracturing_[CALIMA]	None	None
wtxryb	وتخريب	taxoriyb	تَخْرِيب	noun	taxoriyb	تَخْرِيب	and_[CALIMA]+destruction;sabotage;terrorism_[CALIMA]	None	None
bs	بس	bas~	بَسّ	interj	bas~	بَسّ	hush_[CALIMA]	None	None
mHd$	محدش	Had~	حَدّ	noun	Had~	حَدّ	not_[CALIMA]+stop;halt;end;extent;limit;level;border;frontier_[CALIMA]+not_[CALIMA]	None	None
kAn	كان	kAn	كان	verb	kAn	كان	be;was;were_[CALIMA]	None	None
bysmE	بيسمع	simiE	سِمِع	verb	somaE	سْمَع	[present-tense]_+_he;it_[CALIMA]+have_listen;listen;make_hear;hear_[CALIMA]	None	None
wklh	وكله	kul~	كُلّ	noun_quant	kul~	كُلّ	and_[CALIMA]+all;entire;every;whole_[CALIMA]+his;its_[CALIMA]	None	None
kAn	كان	kAn	كان	verb	kAn	كان	be;was;were_[CALIMA]	None	None
fAkr	فاكر	fAkir	فاكِر	adj	fAkir	فاكِر	remembering;thinking_[CALIMA]	None	None
Anh	انه	<in~	إِنّ	conj_sub	<in~uh	إِنُّه	if_[CALIMA]	None	None
kdp	كدة	kidah	كِدَه	noun	kidap	كِدَة	this;after_all_that_time;in_this_way;approximately;like_that;as_such;that;like_[CALIMA]	None	None
brns	برنس	buronus	بُرْنُس	noun	buronus	بُرْنُس	burnoose;burnooses_[CALIMA]	None	None
AllyAlY	الليالى	laylap	لَيلَة	noun	layAliy	لَيالِي	the_[CALIMA]+night;evening;soire;nights;evenings;soires_[CALIMA]	None	None
wbyElm	وبيعلم	Eilim	عِلِم	verb	Eolam	عْلَم	and_+_[present-tense]_+_he;it_[CALIMA]+know;find_out_[CALIMA]	None	None
ElY	على	EalaY	عَلَى	prep	EalaY	عَلَى	on;above_[CALIMA]	None	None
AY	اى	>ay	أَي	abbrev	>ay	أَي	A._[ARAMORPH]	None	None
Hd	حد	Had~	حَدّ	noun	Had~	حَدّ	stop;halt;end;extent;limit;level;border;frontier_[CALIMA]	None	None
wmkAn$	ومكانش	kAn	كان	verb	kAn	كان	and_+_not_[CALIMA]+be;was;were_[CALIMA]+he;it_+_not_[CALIMA]	None	None
mSdq	مصدق	miSad~aq	مِصَدَّق	adj	miSad~aq	مِصَدَّق	credible;believing;believed_[CALIMA]	None	None
An	ان	<in~	إِنّ	conj_sub	<in~	إِنّ	if_[CALIMA]	None	None
mmkn	ممكن	mumokin	مُمْكِن	adj	mumokin	مُمْكِن	possible_[CALIMA]	None	None
Hd	حد	Had~	حَدّ	noun	Had~	حَدّ	stop;halt;end;extent;limit;level;border;frontier_[CALIMA]	None	None
yElm	يعلم	Eilim	عِلِم	verb	Eolam	عْلَم	he;it_[CALIMA]+know;find_out_[CALIMA]	None	None
Elyh	عليه	EalaY	عَلَى	prep	Ealayh	عَلَيه	on;above_[CALIMA]	None	None
kl	كل	kul~	كُلّ	noun	kul~	كُلّ	all_[CALIMA]	None	None
qyAdAt	قيادات	qiyAdap	قِيادَة	noun	qiyAd	قِياد	leadership;command;leaders;commanders_[CALIMA]+[fem.pl.]_[CALIMA]	None	None
ms}wlp	مسئولة	maso&uwl	مَسْؤُول	adj	maso}uwl	مَسْئُول	responsible;dependable_[ARAMORPH]+[fem.sg.]_[ARAMORPH]	None	None
En	عن	Ean	عَن	prep	Ean	عَن	(away)_from;off;about;on;over_[CALIMA]	None	None
mA	ما	mA	ما	part	mA	ما	[no_gloss]_[CALIMA]	None	None
Hdv	حدث	Had~iv	حَدِّث	verb	Had~iv	حَدِّث	tell;speak;discuss;talk_to;happen;take_place;occur;flow_[CALIMA]+you_[CALIMA]	None	None
l$wyp	لشوية	$uway~ap	شُوَيَّة	noun	$uway~	شُوَيّ	for;to_[CALIMA]+a_little_bit_[CALIMA]+[fem.sg.]_[CALIMA]	None	None
$bAb	شباب	$Ab~	شابّ	noun	$abAb	شَباب	young_man;young_men_[CALIMA]	None	None
wATfAl	واطفال	Tifol	طِفْل	noun	>aTofAl	أَطْفال	and_[ARAMORPH]+children;infants_[ARAMORPH]	None	None
Allh	الله	All~ah	اللَّه	noun_prop	All~ah	اللَّه	TBA_[CALIMA]	None	None
yrHmhm	يرحمهم	raHam	رَحَم	verb	roHam	رْحَم	he;it_[CALIMA]+mercy;have_mercy;protect;be_compassionate;have_mercy_on;bless;have_pity_on;be_merciful_[CALIMA]+them_[CALIMA]	None	None
wAllh	والله	<il~A	إِلّا	noun	Allah	اللَه	and;with_[CALIMA]+God;Allah_[CALIMA]	None	None
yjAzY	يجازى	yjAzy	يجازي	noun_prop	yjAzy	يجازي	NO_ANALYSIS_[ARAMORPH]	None	None
AllY	اللى	All~iy	اللِّي	pron_rel	All~iy	اللِّي	which;who;whom_[CALIMA]	None	None
kAn	كان	kAn	كان	verb	kAn	كان	be;was;were_[CALIMA]	None	None
Alsbb	السبب	sabab	سَبَب	noun	sabab	سَبَب	the_[CALIMA]+reason;cause;because_of;due_to;reasons;causes;circumstances_[CALIMA]	None	None
wTlE	وطلع	TiliE	طِلِع	verb	TiliE	طِلِع	and_[CALIMA]+emerge;go_out;rise;appear_[CALIMA]+he;it_[CALIMA]	None	None
AlyAfTp	اليافطة	yafoTap	يَفْطَة	noun	yAfoT	يافْط	the_[ARAMORPH]+placard;sign_[ARAMORPH]+[fem.sg.]_[ARAMORPH]	None	None
wDrb	وضرب	Darab	ضَرَب	verb	Darab	ضَرَب	and_[CALIMA]+strike;hit;be_struck;be_hit_[CALIMA]+he;it_[CALIMA]	None	None
$mAryx	شماريخ	$mAryx	شماريخ	noun_prop	$mAryx	شماريخ	NO_ANALYSIS_[ARAMORPH]	None	None
wSwAryx	وصواريخ	SAruwx	صارُوخ	noun	SawAriyx	صَوارِيخ	and_[ARAMORPH]+missiles;rockets_[ARAMORPH]	None	None
AlDrb	الضرب	Darob	ضَرْب	noun	Darob	ضَرْب	the_[CALIMA]+strike;attack;bombardment;beating;hitting;striking_[CALIMA]	None	None
mkAn$	مكانش	kAn	كان	verb	kAn	كان	not_[CALIMA]+be;was;were_[CALIMA]+he;it_+_not_[CALIMA]	None	None
E$An	عشان	$a>on	شَأْن	noun	$a>on	شَأْن	on;above_[CALIMA]+matter;affair;case;importance;status;situation;condition;affairs_[CALIMA]	None	None
AlyAfTp	اليافطة	yafoTap	يَفْطَة	noun	yAfoT	يافْط	the_[ARAMORPH]+placard;sign_[ARAMORPH]+[fem.sg.]_[ARAMORPH]	None	None
bs	بس	bas~	بَسّ	interj	bas~	بَسّ	hush_[CALIMA]	None	None
wlkn	ولكن	lakin	لَكِن	conj	lakin	لَكِن	and_[CALIMA]+Rather;even;but;yet;however;but_rather_[CALIMA]	None	None
E$An	عشان	$a>on	شَأْن	noun	$a>on	شَأْن	on;above_[CALIMA]+matter;affair;case;importance;status;situation;condition;affairs_[CALIMA]	None	None
HAjAt	حاجات	HAjap	حاجَة	noun	HAj	حاج	need;needs;thing;belongings_[CALIMA]+[fem.pl.]_[CALIMA]	None	None
ktyr	كتير	kaviyr	كَثِير	adj	kaviyr	كَثِير	many;much;numerous;a_lot;very_[CALIMA]	None	None
qbl	قبل	qabol	قَبْل	noun	qabol	قَبْل	before;previously;formerly_[CALIMA]	None	None
kdp	كدة	kidah	كِدَه	noun	kidap	كِدَة	this;after_all_that_time;in_this_way;approximately;like_that;as_such;that;like_[CALIMA]	None	None
lkn	لكن	lakin	لَكِن	conj	lakin	لَكِن	Rather;even;but;yet;however;but_rather_[CALIMA]	None	None
AlyAfTp	اليافطة	yafoTap	يَفْطَة	noun	yAfoT	يافْط	the_[ARAMORPH]+placard;sign_[ARAMORPH]+[fem.sg.]_[ARAMORPH]	None	None
kAnt	كانت	kAn	كان	verb	kAn	كان	be;was;were_[CALIMA]+it;they;she_[CALIMA]	None	None
$rArp	شرارة	$arArap	شَرارَة	noun	$arAr	شَرار	spark;sparks_[CALIMA]+[fem.sg.]_[CALIMA]	None	None
AlAnTlAq	الانطلاق	{inoTilAq	ٱِنْطِلاق	noun	{inoTilAq	ٱِنْطِلاق	the_[ARAMORPH]+departure_[ARAMORPH]	None	None
nfsY	نفسى	nafos	نَفْس	noun	nafos	نَفْس	same;self;selves;soul;souls_[CALIMA]+my_[CALIMA]	None	None
AErf	اعرف	Earaf	عَرَف	verb	Eoraf	عْرَف	I_[CALIMA]+know;be_known_[CALIMA]	None	None
mn	من	man	مَن	pron_interrog	man	مَن	who;whom_[ARAMORPH]	None	None
AlgbY	الغبى	gabiy	غَبِي	adj	gabiy	غَبِي	the_[CALIMA]+stupid;ignorant_[CALIMA]	None	None
SAHb	صاحب	SAHib	صاحِب	noun	SAHib	صاحِب	owner;originator;owners;originators;friend;companion;friends;companions_[CALIMA]	None	None
h*h	هذه	h`*A	هٰذا	pron_dem	h`*ihi	هٰذِهِ	this;these_[ARAMORPH]	None	None
AlrsAlp	الرسالة	risAlap	رِسالَة	noun	risAl	رِسال	the_[CALIMA]+letter;communication;dissertation;letters;messages;mission;task_[CALIMA]+[fem.sg.]_[CALIMA]	None	None
AlHqyrp	الحقيرة	Haqiyr	حَقِير	adj	Haqiyr	حَقِير	the_[CALIMA]+despised;despicable_[CALIMA]+[fem.sg.]_[CALIMA]	None	None
Aywh	ايوه	>aywap	أَيوَة	interj	>aywap	أَيوَة	TBA_[CALIMA]	None	None
kdh	كده	kidah	كِدَه	noun	kidap	كِدَة	this;after_all_that_time;in_this_way;approximately;like_that;as_such;that;like_[CALIMA]	None	None
AtEdl	اتعدل	AitoEadal	اِتْعَدَل	verb	AitoEadal	اِتْعَدَل	be_stable;alter;be_moderate;be_altered;modify;be_steady;rectify;be_corrected_[CALIMA]+he;it_[CALIMA]	None	None
